shipment_id,supplier,origin,destination,transport_mode,distance_km,shipping_cost,weather_condition,traffic_level,order_priority,expected_delivery_days,actual_delivery_days,delayed
SHP-000001,Supplier_U,Philadelphia,Denver,Rail,960,2582.09,Clear,High,Critical,11,10,0
SHP-000002,Supplier_D,Chicago,Las Vegas,Rail,3872,178.33,Clear,High,Low,2,1,0
SHP-000003,Supplier_A,San Diego,Portland,Air,3192,5425.98,Fog,High,High,12,12,0
SHP-000004,Supplier_X,New York,Portland,Rail,566,8518.95,Rain,Moderate,Low,11,11,0
SHP-000005,Supplier_I,Phoenix,Portland,Road,4526,9578.43,Rain,High,Low,13,13,0
SHP-000006,Supplier_H,San Diego,Denver,Air,3544,5679.16,Clear,Low,Critical,11,10,0
SHP-000007,Supplier_H,San Diego,Detroit,Air,3271,5168.89,Fog,Low,High,13,13,0
SHP-000008,Supplier_E,Phoenix,Atlanta,Rail,3019,896.31,Rain,Low,High,2,2,0
SHP-000009,Supplier_X,Houston,Orlando,Rail,230,5511.28,Snow,High,Medium,8,14,1
SHP-000010,Supplier_D,Phoenix,Orlando,Road,1785,3830.79,Clear,Low,Medium,9,15,1
SHP-000011,Supplier_V,San Jose,Nashville,Air,869,6091.0,Fog,Moderate,Low,6,5,0
SHP-000012,Supplier_X,New York,Nashville,Road,2491,3917.83,Storm,Moderate,Critical,11,17,1
SHP-000013,Supplier_R,Chicago,Seattle,Road,2533,2440.98,Storm,Low,High,1,7,1
SHP-000014,Supplier_C,Los Angeles,Nashville,Rail,1284,994.9,Clear,High,Medium,1,6,1
SHP-000015,Supplier_S,Los Angeles,Detroit,Road,4655,3183.44,Clear,Low,Critical,14,14,0
SHP-000016,Supplier_N,Philadelphia,Las Vegas,Road,3485,1011.62,Clear,Low,High,11,10,0
SHP-000017,Supplier_B,Dallas,Miami,Air,4217,1810.12,Clear,High,Critical,7,10,1
SHP-000018,Supplier_A,San Antonio,Portland,Road,4943,9873.99,Storm,Low,Low,8,15,1
SHP-000019,Supplier_C,San Jose,Boston,Sea,3004,4468.83,Clear,Moderate,Medium,3,10,1
